ip,round,value
10.42.0.121,5104,10.90501922979632
10.42.0.121,5206,10.80559576907166
10.42.0.121,5306,10.468767191254676
10.42.0.121,5403,9.144030179654438
10.42.0.121,5471,9.6311940948936
10.42.0.121,5489,5.9283304147723825
10.42.0.121,5521,7.937318164496107
10.42.0.121,5591,9.616416407774594
10.42.0.121,5689,9.988284573152454
10.42.0.121,5784,10.065764858244107
10.42.0.121,5885,10.168105563683811
10.42.0.121,5993,11.32697139853212
10.42.0.121,6103,11.557869840099213
10.42.0.121,6194,9.791772951871737
10.42.0.121,6287,6.0101000151111
10.42.0.121,6379,9.955198933910768
10.42.0.121,6465,10.528548043994022
10.42.0.121,6513,10.520662647537536
10.42.0.121,6543,10.476747822144322
10.42.0.121,6570,10.425505653701222
10.42.0.121,6665,10.248942601285542
10.42.0.121,6762,10.84597615977741
10.42.0.121,6864,11.108241254608298
10.42.0.121,6972,11.024952202211578
10.42.0.121,7080,6.062840889892922
10.42.0.121,7177,9.281075725745822
10.42.0.121,7281,10.023069361275045
10.42.0.121,7375,10.197163850756528
10.42.0.121,7477,10.277838637393218
10.42.0.121,7579,11.151664496546733
10.42.0.121,7614,11.359144082352287
10.42.0.121,7651,11.45367564343537
10.42.0.121,7684,11.483074281709126
10.42.0.121,7777,11.53113425086673
10.42.0.121,7874,6.4106313510348585
10.42.0.121,7979,9.908621379397353
10.42.0.121,8086,11.134276584339926
10.42.0.121,8207,11.356069743813515
10.42.0.121,8297,10.994507823856773
10.42.0.121,8397,11.15556221515651
10.42.0.121,8489,11.944895485229804
10.42.0.121,8576,11.909137344183142
10.42.0.121,8667,11.329140623889145
10.42.0.121,8699,11.155989974964314
10.42.0.121,8723,5.304491628349374
10.42.0.121,8778,8.0934303096974
10.42.0.121,8874,10.347682620949126
10.42.0.121,8982,10.74478460358089
10.42.0.121,9091,10.581040264405056
10.42.0.121,9202,10.253835706508642
10.42.0.121,9318,10.891591953303882
10.42.0.121,9425,11.457331312256313
10.42.0.121,9528,11.252310811546474
10.42.0.121,9625,9.707622314783611
10.42.0.123,5013,5.408363653688771
10.42.0.123,5102,8.575706333464412
10.42.0.123,5190,9.683137089012808
10.42.0.123,5224,9.803450679267945
10.42.0.123,5261,8.850220963790402
10.42.0.123,5315,8.848213712170002
10.42.0.123,5417,9.58282291309734
10.42.0.123,5539,9.825215954859335
10.42.0.123,5649,9.909168472472153
10.42.0.123,5740,10.601905846175255
10.42.0.123,5831,5.5272951250648
10.42.0.123,5921,8.810661607234032
10.42.0.123,6011,10.057121802049503
10.42.0.123,6098,9.030968196692964
10.42.0.123,6186,9.437232345844807
10.42.0.123,6263,9.938701338151231
10.42.0.123,6293,10.079612362006353
10.42.0.123,6334,10.217922504656162
10.42.0.123,6417,10.360048344130933
10.42.0.123,6548,10.477562388206582
10.42.0.123,6649,5.568120948270728
10.42.0.123,6737,8.483235728630278
10.42.0.123,6827,9.736017053731587
10.42.0.123,6918,9.710702812575152
10.42.0.123,7008,7.944434531701684
10.42.0.123,7098,8.638100542698716
10.42.0.123,7185,9.35541296818154
10.42.0.123,7274,9.846753933174949
10.42.0.123,7331,10.03316305729384
10.42.0.123,7389,10.350711846807885
10.42.0.123,7426,5.179024980253386
