ip,round,value
10.42.0.123,2841,8.602976309246388
10.42.0.123,2926,7.71378781325943
10.42.0.123,3023,7.949876683406518
10.42.0.123,3109,8.330692012079759
10.42.0.123,3196,8.635245100863353
10.42.0.123,3282,8.743219202336356
10.42.0.123,3306,8.74856489812137
10.42.0.116,573,9.775329279537326
10.42.0.116,599,10.045787512785811
10.42.0.116,625,9.8092714498525
10.42.0.116,651,9.61026622072817
10.42.0.116,680,9.42945823627622
10.42.0.116,708,8.986227060803909
10.42.0.116,725,8.922895126968967
10.42.0.116,735,8.912951368700009
10.42.0.116,747,8.909714416143283
10.42.0.116,768,8.90118630042438
10.42.0.116,810,9.086926767404606
10.42.0.116,852,8.008909205399437
10.42.0.116,887,7.86872593689887
10.42.0.116,925,8.022727321960069
10.42.0.116,961,8.216395676210281
10.42.0.116,996,8.354928947693743
10.42.0.116,1028,9.345061470443559
10.42.0.116,1062,8.708972738159066
10.42.0.116,1095,8.408208023799874
10.42.0.116,1113,8.330424473077507
10.42.0.116,1126,9.896370848938668
10.42.0.116,1137,9.430034746361764
10.42.0.116,1165,8.845700701623942
10.42.0.116,1199,8.97841490621762
10.42.0.116,1233,9.265771415946368
10.42.0.116,1264,9.421124125087776
10.42.0.116,1292,9.938750199107128
10.42.0.116,1319,9.439380327203876
10.42.0.116,1348,9.013678531740112
10.42.0.116,1376,8.782712603646994
10.42.0.116,1402,9.65703313918854
10.42.0.116,1431,8.89431848884869
10.42.0.116,1449,8.36236795981442
10.42.0.116,1457,8.228341356232955
10.42.0.116,1458,9.950774189248575
10.42.0.116,1459,9.863137041537977
10.42.0.116,1460,9.778834460882157
10.42.0.116,1461,9.697687286423601
10.42.0.116,1462,9.690558913348552
10.42.0.116,1463,9.683002948422612
10.42.0.116,1464,9.675044821392836
10.42.0.116,1465,9.66670826428
10.42.0.116,1466,9.658017920221068
10.42.0.116,1467,9.648996498489698
10.42.0.116,1468,9.639265338142783
10.42.0.116,1469,9.628872628921135
10.42.0.116,1470,9.617863557322424
10.42.0.116,1471,9.977069886397771
10.42.0.116,1472,9.95403269558357
10.42.0.116,1473,9.930914249067836
10.42.0.116,1474,9.907738977682142
10.42.0.116,1485,9.654448065453513
10.42.0.116,1519,9.02352762696217
10.42.0.116,1550,9.437181101630523
10.42.0.116,1576,9.415080034067264
10.42.0.116,1603,9.346859444006402
10.42.0.116,1632,8.819179829149904
10.42.0.116,1658,8.395662597196905
10.42.0.116,1675,8.388118857039672
10.42.0.116,1682,8.41146344654036
10.42.0.118,1002,14.376862235463916
10.42.0.118,1015,13.023823867803229
10.42.0.118,1031,11.671963057390883
10.42.0.118,1054,9.977210959325534
10.42.0.118,1092,8.768143481780362
10.42.0.118,1130,8.396138565433619
10.42.0.118,1165,8.3942022729102
10.42.0.118,1199,8.826408816402644
10.42.0.118,1234,9.22787683309079
10.42.0.118,1266,9.41342126145245
10.42.0.118,1295,12.99781937749459
10.42.0.118,1325,10.530760263376603
10.42.0.118,1364,9.207446678837789
10.42.0.118,1391,8.851622477606828
10.42.0.118,1405,8.751041188904189
10.42.0.118,1420,8.680587637695524
10.42.0.118,1445,8.198568014613771
10.42.0.118,1493,7.979606009459752
10.42.0.118,1543,8.18289675040334
10.42.0.118,1589,8.40858751796528
